PrinterName,IPAddress,PortName,Location,Comment,DriverName,DriverInfPath,Shared,ShareName,Published,Color,Duplex,DefaultPaperSize,Collate,Staple,Department,CostCenter,DeployTo,DeployType,DeployMethod,Priority,SNMPEnabled,SNMPCommunity,WebInterface,AssetTag,SerialNumber,Model,Manufacturer,InstallDate,DefaultPrinter,PooledWith,PrintProcessor,DataType,Permissions,TestPage,Enabled,Notes
NYC-HQ-PRN-001,10.1.1.100,IP_10.1.1.100,Building A - Floor 1 - Room 101,Main lobby printer - Color MFP,HP Universal Printing PCL 6,\\printserver\drivers\HP\hpcu250u.inf,TRUE,NYC-HQ-Lobby-Color,TRUE,TRUE,TRUE,Letter,TRUE,FALSE,Facilities,CC-1001,NYC-Staff,Group,GPO,1,TRUE,public,https://10.1.1.100,AST-PRN-001,SN2024010001,HP Color LaserJet Enterprise M653,HP,2024-01-15,FALSE,,winprint,RAW,Domain Users:Print;IT-Admins:Full,TRUE,TRUE,Main color printer for lobby area
NYC-HQ-PRN-002,10.1.1.101,IP_10.1.1.101,Building A - Floor 1 - Copy Room,Copy room high-volume B&W,Xerox Global Print Driver PCL6,\\printserver\drivers\Xerox\x2UNIVX.inf,TRUE,NYC-HQ-CopyRoom-BW,TRUE,FALSE,TRUE,Letter,TRUE,TRUE,Administration,CC-1002,NYC-Staff,Group,GPO,2,TRUE,public,https://10.1.1.101,AST-PRN-002,SN2024010002,Xerox VersaLink B605,Xerox,2024-01-15,FALSE,,winprint,RAW,Domain Users:Print;IT-Admins:Full,TRUE,TRUE,High-volume B&W with stapler
NYC-HQ-PRN-003,10.1.1.102,IP_10.1.1.102,Building A - Floor 2 - IT Department,IT department dedicated printer,HP Universal Printing PCL 6,\\printserver\drivers\HP\hpcu250u.inf,TRUE,NYC-HQ-IT-Dept,TRUE,TRUE,TRUE,Letter,TRUE,FALSE,Information Technology,CC-2001,IT-Staff,Group,GPO,1,TRUE,public,https://10.1.1.102,AST-PRN-003,SN2024010003,HP Color LaserJet Pro M454,HP,2024-01-15,TRUE,,winprint,RAW,IT-Staff:Print;IT-Admins:Full,TRUE,TRUE,IT department default printer
NYC-HQ-PRN-004,10.1.1.103,IP_10.1.1.103,Building A - Floor 2 - Finance,Finance secure print area,Canon Generic Plus UFR II,\\printserver\drivers\Canon\CNLB0U.inf,TRUE,NYC-HQ-Finance,TRUE,FALSE,TRUE,Letter,TRUE,TRUE,Finance,CC-3001,Finance-Staff,Group,GPO,1,TRUE,public,https://10.1.1.103,AST-PRN-004,SN2024010004,Canon imageRUNNER ADVANCE DX C3826i,Canon,2024-01-15,TRUE,,winprint,RAW,Finance-Staff:Print;Finance-Managers:Full;IT-Admins:Full,TRUE,TRUE,Secure print enabled - PIN required
NYC-HQ-PRN-005,10.1.1.104,IP_10.1.1.104,Building A - Floor 3 - HR Department,HR confidential printing,HP Universal Printing PCL 6,\\printserver\drivers\HP\hpcu250u.inf,TRUE,NYC-HQ-HR-Secure,TRUE,FALSE,TRUE,Letter,TRUE,FALSE,Human Resources,CC-4001,HR-Staff,Group,GPO,1,TRUE,public,https://10.1.1.104,AST-PRN-005,SN2024010005,HP LaserJet Enterprise M607,HP,2024-01-15,TRUE,,winprint,RAW,HR-Staff:Print;HR-Managers:Full;IT-Admins:Full,TRUE,TRUE,Confidential HR documents - secure location
NYC-HQ-PRN-006,10.1.1.105,IP_10.1.1.105,Building A - Floor 3 - Executive Suite,Executive floor color MFP,Konica Minolta Universal PCL,\\printserver\drivers\Konica\KOAX7D1.inf,TRUE,NYC-HQ-Executive,TRUE,TRUE,TRUE,Letter,TRUE,TRUE,Executive,CC-5001,Executive-Staff,Group,GPO,1,TRUE,private,https://10.1.1.105,AST-PRN-006,SN2024010006,Konica Minolta bizhub C360i,Konica Minolta,2024-01-15,TRUE,,winprint,RAW,Executive-Staff:Print;Executive-Admins:Full;IT-Admins:Full,TRUE,TRUE,Executive suite - premium supplies
NYC-HQ-PRN-007,10.1.1.106,IP_10.1.1.106,Building A - Floor 1 - Mailroom,Mailroom label printer,Zebra ZDesigner Driver,\\printserver\drivers\Zebra\ZBRN.inf,TRUE,NYC-HQ-Labels,FALSE,FALSE,FALSE,4x6 Label,FALSE,FALSE,Mailroom,CC-1003,Mailroom-Staff,Group,Script,1,FALSE,,http://10.1.1.106,AST-PRN-007,SN2024010007,Zebra ZT411,Zebra,2024-01-15,TRUE,,winprint,RAW,Mailroom-Staff:Print;IT-Admins:Full,TRUE,TRUE,Shipping label printer - 4x6 labels
NYC-HQ-PRN-008,10.1.1.107,IP_10.1.1.107,Building A - Floor 4 - Engineering,Engineering wide format,HP DesignJet Universal Print Driver,\\printserver\drivers\HP\hpwia.inf,TRUE,NYC-HQ-Plotter,TRUE,TRUE,FALSE,ANSI D (22x34),FALSE,FALSE,Engineering,CC-6001,Engineering-Staff,Group,GPO,2,TRUE,public,https://10.1.1.107,AST-PRN-008,SN2024010008,HP DesignJet T650 36-in,HP,2024-01-20,FALSE,,winprint,RAW,Engineering-Staff:Print;IT-Admins:Full,TRUE,TRUE,Large format plotter for drawings
NYC-HQ-PRN-009,10.1.1.108,IP_10.1.1.108,Building A - Floor 4 - Engineering,Engineering standard B&W,Ricoh PCL6 UniversalDriver V4.34,\\printserver\drivers\Ricoh\RICU3.inf,TRUE,NYC-HQ-Eng-BW,TRUE,FALSE,TRUE,Letter,TRUE,TRUE,Engineering,CC-6001,Engineering-Staff,Group,GPO,1,TRUE,public,https://10.1.1.108,AST-PRN-009,SN2024010009,Ricoh IM 550F,Ricoh,2024-01-20,TRUE,,winprint,RAW,Engineering-Staff:Print;IT-Admins:Full,TRUE,TRUE,Engineering default printer
NYC-HQ-PRN-010,10.1.1.109,IP_10.1.1.109,Building B - Floor 1 - Warehouse,Warehouse receipt printer,Epson TM-T88VI Receipt,\\printserver\drivers\Epson\EPTM88.inf,TRUE,NYC-HQ-Warehouse-Receipt,FALSE,FALSE,FALSE,Receipt 80mm,FALSE,FALSE,Warehouse,CC-7001,Warehouse-Staff,Group,Script,1,FALSE,,http://10.1.1.109,AST-PRN-010,SN2024010010,Epson TM-T88VI,Epson,2024-01-20,TRUE,,winprint,RAW,Warehouse-Staff:Print;IT-Admins:Full,TRUE,TRUE,Receipt printer for shipping
NYC-HQ-PRN-011,10.1.1.110,IP_10.1.1.110,Building B - Floor 1 - Warehouse,Warehouse packing slip printer,HP Universal Printing PCL 6,\\printserver\drivers\HP\hpcu250u.inf,TRUE,NYC-HQ-Warehouse-Pack,TRUE,FALSE,FALSE,Letter,FALSE,FALSE,Warehouse,CC-7001,Warehouse-Staff,Group,Script,2,TRUE,public,https://10.1.1.110,AST-PRN-011,SN2024010011,HP LaserJet Pro M404,HP,2024-01-20,FALSE,,winprint,RAW,Warehouse-Staff:Print;IT-Admins:Full,TRUE,TRUE,Packing slip and documentation
NYC-HQ-PRN-012,10.1.1.111,IP_10.1.1.111,Building A - Floor 5 - Legal,Legal department secure printer,Lexmark Universal v2 XL,\\printserver\drivers\Lexmark\LMUD2.inf,TRUE,NYC-HQ-Legal,TRUE,FALSE,TRUE,Legal,TRUE,TRUE,Legal,CC-8001,Legal-Staff,Group,GPO,1,TRUE,public,https://10.1.1.111,AST-PRN-012,SN2024010012,Lexmark MS826de,Lexmark,2024-01-25,TRUE,,winprint,RAW,Legal-Staff:Print;Legal-Partners:Full;IT-Admins:Full,TRUE,TRUE,Legal paper default - confidential
NYC-HQ-PRN-013,10.1.1.112,IP_10.1.1.112,Building A - Floor 5 - Legal,Legal document scanner/copier,Canon Generic Plus UFR II,\\printserver\drivers\Canon\CNLB0U.inf,TRUE,NYC-HQ-Legal-MFP,TRUE,TRUE,TRUE,Legal,TRUE,TRUE,Legal,CC-8001,Legal-Staff,Group,GPO,2,TRUE,public,https://10.1.1.112,AST-PRN-013,SN2024010013,Canon imageRUNNER ADVANCE DX 6780i,Canon,2024-01-25,FALSE,,winprint,RAW,Legal-Staff:Print;IT-Admins:Full,TRUE,TRUE,High-volume legal MFP
NYC-HQ-PRN-014,10.1.1.113,IP_10.1.1.113,Building A - Floor 2 - Marketing,Marketing creative printer,HP Universal Printing PS,\\printserver\drivers\HP\hpcu250u.inf,TRUE,NYC-HQ-Marketing-Color,TRUE,TRUE,TRUE,Letter,TRUE,FALSE,Marketing,CC-9001,Marketing-Staff,Group,GPO,1,TRUE,public,https://10.1.1.113,AST-PRN-014,SN2024010014,HP Color LaserJet Enterprise M856,HP,2024-01-25,TRUE,,winprint,RAW,Marketing-Staff:Print;IT-Admins:Full,TRUE,TRUE,High-quality color for marketing materials
NYC-HQ-PRN-015,10.1.1.114,IP_10.1.1.114,Building A - Floor 2 - Marketing,Marketing wide format poster,Epson SureColor P-Series,\\printserver\drivers\Epson\EPWP.inf,TRUE,NYC-HQ-Marketing-Poster,TRUE,TRUE,FALSE,24x36 Poster,FALSE,FALSE,Marketing,CC-9001,Marketing-Staff,Group,Script,2,TRUE,public,https://10.1.1.114,AST-PRN-015,SN2024010015,Epson SureColor P9570,Epson,2024-01-25,FALSE,,winprint,RAW,Marketing-Staff:Print;IT-Admins:Full,TRUE,TRUE,Large format poster printer
NYC-HQ-PRN-016,10.1.1.115,IP_10.1.1.115,Building A - Conference Room A,Conference room wireless print,HP Universal Printing PCL 6,\\printserver\drivers\HP\hpcu250u.inf,TRUE,NYC-HQ-ConfRoom-A,TRUE,TRUE,TRUE,Letter,TRUE,FALSE,Facilities,CC-1001,NYC-Staff;Visitors,Group,GPO,3,TRUE,public,https://10.1.1.115,AST-PRN-016,SN2024010016,HP Color LaserJet Pro M283,HP,2024-02-01,FALSE,,winprint,RAW,Domain Users:Print;IT-Admins:Full,TRUE,TRUE,Guest printing available
NYC-HQ-PRN-017,10.1.1.116,IP_10.1.1.116,Building A - Conference Room B,Conference room wireless print,HP Universal Printing PCL 6,\\printserver\drivers\HP\hpcu250u.inf,TRUE,NYC-HQ-ConfRoom-B,TRUE,TRUE,TRUE,Letter,TRUE,FALSE,Facilities,CC-1001,NYC-Staff;Visitors,Group,GPO,3,TRUE,public,https://10.1.1.116,AST-PRN-017,SN2024010017,HP Color LaserJet Pro M283,HP,2024-02-01,FALSE,,winprint,RAW,Domain Users:Print;IT-Admins:Full,TRUE,TRUE,Guest printing available
NYC-HQ-PRN-018,10.1.1.117,IP_10.1.1.117,Building A - Training Room,Training room printer,Brother HL-L6400DW,\\printserver\drivers\Brother\BROHL.inf,TRUE,NYC-HQ-Training,TRUE,FALSE,TRUE,Letter,TRUE,FALSE,Training,CC-1004,Training-Staff;Trainees,Group,GPO,2,TRUE,public,https://10.1.1.117,AST-PRN-018,SN2024010018,Brother HL-L6400DW,Brother,2024-02-01,FALSE,,winprint,RAW,Domain Users:Print;IT-Admins:Full,TRUE,TRUE,High-volume training materials
