Action,UserIdentifier,UserIdentifierType,GroupName,GroupIdentifierType,Priority,EffectiveDate,ExpirationDate,RequestedBy,TicketNumber,BusinessJustification,Notes
Add,jsmith,SamAccountName,VPN-Users,Name,Normal,2024-01-15,,admin,INC001234,Remote work access required,New remote work arrangement approved
Add,jsmith,SamAccountName,RemoteDesktop-Users,Name,Normal,2024-01-15,,admin,INC001234,Remote work access required,New remote work arrangement approved
Add,jdoe,SamAccountName,HR-Managers,Name,Normal,2024-01-20,,hrmanager,CHG005678,Promotion to HR Manager role,Effective with promotion date
Add,jdoe,SamAccountName,Payroll-Access,Name,Normal,2024-01-20,,hrmanager,CHG005678,Promotion to HR Manager role,Requires payroll system access
Add,jdoe,SamAccountName,Benefits-Admin,Name,Normal,2024-01-20,,hrmanager,CHG005678,Promotion to HR Manager role,Benefits administration duties
Remove,jdoe,SamAccountName,HR-Staff,Name,Normal,2024-01-20,,hrmanager,CHG005678,Promotion to HR Manager role,Moving from staff to manager group
Add,rjohnson,SamAccountName,Finance-Managers,Name,High,2024-02-01,,cfo,CHG005679,Acting finance manager during leave,Temporary assignment - 3 months
Add,rjohnson,SamAccountName,Budget-Approvers,Name,High,2024-02-01,2024-05-01,cfo,CHG005679,Acting finance manager during leave,Time-limited access
Add,ewilliams,SamAccountName,Project-Alpha-Team,Name,Normal,2024-01-25,,projectmgr,PRJ000123,Assigned to Project Alpha,Cross-functional team assignment
Add,mbrown,SamAccountName,Project-Alpha-Team,Name,Normal,2024-01-25,,projectmgr,PRJ000123,Assigned to Project Alpha,Sales representative for project
Add,sdavis,SamAccountName,Project-Alpha-Team,Name,Normal,2024-01-25,,projectmgr,PRJ000123,Assigned to Project Alpha,Development resource
Add,dmiller,SamAccountName,Project-Alpha-Team,Name,Normal,2024-01-25,,projectmgr,PRJ000123,Assigned to Project Alpha,Operations liaison
Add,ctaylor,SamAccountName,Firewall-Admins,Name,High,2024-02-01,,itsecurity,SEC000456,Network security responsibilities,Security clearance verified
Add,ctaylor,SamAccountName,Azure-Admins,Name,High,2024-02-01,,itsecurity,SEC000456,Cloud infrastructure management,Azure certification completed
Add,ctaylor,SamAccountName,AWS-Admins,Name,High,2024-02-01,,itsecurity,SEC000456,Cloud infrastructure management,AWS certification completed
Remove,ctaylor,SamAccountName,IT-Staff,Name,Normal,2024-02-01,,itsecurity,SEC000456,Role change to senior position,Moving to admin-level groups
Add,ctaylor,SamAccountName,IT-Admins,Name,Normal,2024-02-01,,itsecurity,SEC000456,Senior network engineer role,Elevated privileges required
Add,aanderson,SamAccountName,Compliance-Committee,Name,Normal,2024-02-15,,legal,LEG000789,Compliance oversight responsibilities,Annual compliance audit team
Add,aanderson,SamAccountName,GDPR-Access,Name,Normal,2024-02-15,,legal,LEG000789,Data privacy responsibilities,GDPR compliance role
Add,jthomas,SamAccountName,Production-Deploy,Name,High,2024-02-01,,devmanager,CHG005680,Production deployment access,DevOps engineer promotion
Add,jthomas,SamAccountName,Database-Admins,Name,High,2024-02-01,,devmanager,CHG005680,Database management duties,DBA cross-training complete
Add,jjackson,SamAccountName,Termination-Process,Name,High,2024-02-01,,hrdirector,HR000234,Employee offboarding responsibilities,HR manager duties
